tube.length	beak.length	corolla.width	lip.length	beak.angle	lip.width	population
82.265	7.935	27.235	13.235	90	16.675	13
73.335	8.065	26.12	12.89	80	17.285	13
66.84	7.53	28.245	12.855	97.5	17.625	13
80.695	6.94	28.535	13.54	85	19.06	14
69.615	6.47	25.52	12.505	85	16.025	14
77.095	6.795	27.125	12.83	102.5	19.415	14
71.165	6.7	24.41	11.79	90	15.39	14
72.1	7.365	25.195	13.345	110	16.35	14
80.115	6.525	23.55	11.48	97.5	15.29	14
63.745	7.705	26.315	12.645	82.5	15.335	14
85.045	7.8	28.505	14.795	87.5	19.905	14
84.6	7.415	27.215	12.895	90	15.28	14
78.75	7.035	24.95	12.04	92.5	16.695	14
52.825	6.84	20.965	10.825	107.5	14.045	15
72.7	7.035	24.24	13.475	90	15.96	15
68.775	6.675	25.585	13.16	92.5	16.865	15
51.92	7.195	28.01	13.625	97.5	20.035	15
59.46	6.185	28.2	13.68	100	16.07	15
57.66	5.365	23.21	11.82	92.5	13.08	15
70.115	7.21	26.905	12.61	87.5	14.975	15
73.27	7.865	27.5	13.52	90	18.68	15
61.885	6.155	26.27	12.41	90	15.525	15
56.735	6.845	26.095	12.93	90	18.765	15
60.5	7.22	25.115	14.075	92.5	17.73	16
80.5	6.19	27.5	12.22	87.5	16.88	16
78.905	7.27	26.385	12.695	85	16.975	16
98.1	7.105	29.33	13.4	95	18.095	16
81.18	6.28	27.865	13.555	90	16.325	16
84.705	7.185	29.875	14.785	92.5	18.41	16
71.945	6.445	25.435	12.93	92.5	16.88	16
87.285	7.025	27.74	13.09	90	15.455	16
74.69	6.63	23.755	12.17	90	16.15	16
80.62	6.495	25.175	12.33	92.5	17.315	16
82.985	7.39	25.355	11.935	90	18.3	17
57.665	7.205	22.085	10.705	85	13.595	17
60.075	6.6	22.35	10.69	90	14.965	17
76.415	6.785	25.285	12.26	82.5	14.205	17
79.97	6.575	23.345	11.04	80	13.915	17
97.68	6.835	24.695	12.06	85	16.43	17
91.33	6.64	22.85	11.205	92.5	16.995	17
76.68	6.815	24.595	11.28	90	15.125	17
79.52	6.455	23.38	11.11	87.5	13.43	17
84.715	6.57	26.865	12.82	92.5	16.38	17
66.625	6.43	22.39	9.515	90	12.535	18
78.655	7.08	22.795	11.145	90	16.25	18
71.305	7.025	26.025	12.105	87.5	17.11	18
82.325	6.63	24.715	12.03	87.5	16.495	18
77.065	5.73	22.785	11.17	95	12.56	18
60.265	6.055	21.88	11.27	87.5	12.7	18
70.35	6.03	21.795	10.09	92.5	13.575	18
69.715	6.115	24.67	12.335	92.5	15.39	18
56.495	5.78	21.69	11.32	92.5	13.91	18
69.125	5.75	22.025	9.725	95	14.56	18
56.225	7.805	21.46	10.77	82.5	13.37	19
72.25	8.465	20.685	10.89	85	13.43	19
69.09	8.99	21.88	11.305	72.5	13.7	19
62.08	7.88	20.87	10.465	80	14.215	19
60.075	8.7	22.4	11.12	75	14.645	19
63.71	8.66	20.935	10.22	82.5	14.7	19
63.83	8.9	21.035	11.55	85	13.06	19
78.85	8.315	15.46	11.305	77.5	14.235	19
47.725	8.865	24.36	10.79	75	12.48	19
60.32	8.135	20.46	9.955	80	14.74	19
53.96	8.995	20.71	10	80	13.915	20
63.755	9.08	20.205	10.925	75.8	12.96	20
54.37	9.03	19.17	10.27	82.5	12.66	20
55.415	8.585	21.115	9.83	85	12.3	20
63.26	8.395	23.245	12.225	77.5	15.625	20
63.555	9.315	20.795	10.335	80	12.955	20
56.29	7.635	19.75	10.54	85	12.845	20
51.505	9.49	19.485	9.46	82.5	13.29	20
50.61	9.505	20.7	9.85	70	13.505	20
54.71	9.055	20.205	10.495	77.5	11.615	20
44.25	7.505	20.05	10.015	72.5	12.67	21
40.585	7.445	23.015	11.645	60	11.765	21
36.72	8.235	20.62	10.305	72.5	13.04	21
41.085	7.71	20.82	10.19	80	12.265	21
42.805	8.22	21.9	11.825	77.5	12.56	21
37.68	8.91	22.775	11.205	80	13.1	21
43.465	7.98	20.535	11.63	85	14.15	21
51.135	8.685	23.245	10.395	82.5	14.14	21
48.045	7.325	20.745	11.155	85	12.125	21
44.26	7.38	20.575	10.395	92.5	12.56	21
51.92	7.755	20.9	10.435	77.5	15.215	22
54.405	7.82	21.68	10.895	80	14.555	22
45.405	8.545	21.47	10.065	82.5	13.88	22
59.09	9.5	23.125	11	70	16.25	22
65.15	10.115	23.82	11.485	75	16.195	22
56.335	8.855	21.64	10.595	82.5	15.1	22
43.015	8.43	22.11	11.075	95	12.465	22
45.075	9.755	19.84	10.52	90	14.14	22
52.41	9.735	22.25	11.205	85	15.34	22
54.265	9.66	21.49	10.46	87.5	15.645	22
48.015	8.06	21.31	10.41	90	13.43	23
42.57	8.64	21.2	10.29	87.5	13.285	23
41.685	8.355	20.035	10.385	90	12.36	23
43.205	8.605	24.48	12.095	92.5	14.675	23
31.62	8.115	21.68	11.085	87.5	12.925	23
44.88	8.315	20.79	11.045	90	12.405	23
38.105	8.76	21.615	10.575	87.5	14.165	23
35.1	8.71	21.365	10.87	85	11.955	23
45.91	9.185	21.09	10.29	87.5	13.525	23
41.165	8.575	21.85	10.84	90	13.61	23
67.52	5.92	22.15	10.89	102.5	13.415	24
69.58	6.24	24.7	11.255	107.5	15.09	24
58.675	5.665	23	11.015	112.5	13.68	24
61.255	6.255	23.24	10.75	95	12.05	24
62.79	7.07	25.865	12.005	100	14.99	24
40.615	5.725	23.23	10.485	105	13.82	24
46.185	6.065	19.535	9.85	100	12.2	24
49.92	6.015	24.555	11.39	95	14.8	24
55.82	5.945	25.72	12.39	97.5	15.22	24
72.97	6.17	23.225	10.88	100	13.765	24
63.6	5.755	23.16	11.86	110	14.865	25
66.91	7.01	26.725	13.4	100	16.845	25
66.355	5.99	24.06	12.15	100	14.995	25
60.02	7.19	24.96	12.88	105	16.315	25
67.75	6.705	23.845	12.8	105	14.84	25
58.895	6.265	24.48	11.705	100	16.27	25
65.19	6.195	28.415	14.07	87.5	18.355	25
75.545	6.485	26.285	12.365	92.5	17.105	25
72.715	5.98	25.015	12.975	105	16.275	25
63.245	6.26	25.48	12.245	97.5	17.31	25
75.89	5.805	23.73	11.64	85	13.74	26
76.845	6.01	24.53	12.29	97.5	16.365	26
87.23	6.265	25.63	13.11	100	17.535	26
61.755	6.36	23.81	11.535	95	15.74	26
74.745	5.915	24.97	11.815	92.5	16.75	26
94.075	5.485	26.59	12.34	90	17.17	26
66.285	6.09	24.655	11.725	100	16.78	26
71.815	5.91	23.92	13.41	100	15.815	26
74.42	6.75	23.225	11.745	97.5	16.515	26
88.53	5.895	25.035	12.21	92.5	16.985	26
